customer_id,order_date,order_value
CUST_04260,2024-01-01,22.27
CUST_00187,2024-01-01,15.93
CUST_03641,2024-01-01,25.79
CUST_03307,2024-01-01,7.44
CUST_00479,2024-01-01,50.18
CUST_02529,2024-01-01,50.74
CUST_04667,2024-01-01,12.21
CUST_01814,2024-01-01,6.05
CUST_01451,2024-01-01,10.18
CUST_04927,2024-01-01,56.67
CUST_00275,2024-01-01,4.93
CUST_00012,2024-01-01,5.97
CUST_04138,2024-01-01,22.89
CUST_04969,2024-01-01,72.93
CUST_02413,2024-01-01,96.52
CUST_01844,2024-01-01,64.39
CUST_03700,2024-01-01,6.1
CUST_04367,2024-01-01,11.33
CUST_01971,2024-01-01,16.62
CUST_03015,2024-01-01,309.17
CUST_01272,2024-01-01,3.04
CUST_03939,2024-01-01,16.86
CUST_04696,2024-01-02,12.88
CUST_03642,2024-01-02,7.04
CUST_02301,2024-01-02,9.58
CUST_01751,2024-01-02,12.41
CUST_03723,2024-01-02,36.64
CUST_03556,2024-01-02,58.32
CUST_04899,2024-01-02,23.9
CUST_02980,2024-01-02,12.77
CUST_04241,2024-01-02,23.55
CUST_04765,2024-01-02,21.23
CUST_02345,2024-01-02,56.73
CUST_04189,2024-01-02,5.66
CUST_02980,2024-01-02,4.3
CUST_01701,2024-01-02,16.88
CUST_00096,2024-01-02,9.49
CUST_00850,2024-01-02,4.6
CUST_03666,2024-01-03,6.91
CUST_04408,2024-01-03,17.94
CUST_00427,2024-01-03,19.05
CUST_04300,2024-01-03,26.4
CUST_02898,2024-01-03,36.25
CUST_02653,2024-01-03,22.99
CUST_03001,2024-01-03,19.42
CUST_01745,2024-01-03,9.45
CUST_01049,2024-01-03,6.41
CUST_01100,2024-01-03,32.81
CUST_03001,2024-01-03,39.5
CUST_03000,2024-01-03,37.54
CUST_03466,2024-01-03,102.44
CUST_04877,2024-01-03,10.24
CUST_02432,2024-01-03,5.36
CUST_01846,2024-01-03,8.64
CUST_00284,2024-01-03,10.3
CUST_04281,2024-01-03,38.13
CUST_04269,2024-01-03,12.56
CUST_03320,2024-01-03,7.92
CUST_00171,2024-01-04,55.66
CUST_02020,2024-01-04,58.86
CUST_00999,2024-01-04,90.13
CUST_04707,2024-01-04,20.09
CUST_01094,2024-01-04,10.79
CUST_03826,2024-01-04,5.21
CUST_04128,2024-01-04,22.62
CUST_04765,2024-01-04,12.47
CUST_00865,2024-01-04,8.95
CUST_04281,2024-01-04,6.21
CUST_02901,2024-01-04,6.84
CUST_00333,2024-01-04,1.6
CUST_04519,2024-01-04,15.27
CUST_03867,2024-01-04,21.22
CUST_02317,2024-01-04,10.96
CUST_01656,2024-01-05,7.09
CUST_01605,2024-01-05,12.09
CUST_03464,2024-01-05,4.88
CUST_01029,2024-01-05,112.3
CUST_04557,2024-01-05,45.23
CUST_04189,2024-01-05,59.42
CUST_03783,2024-01-05,40.17
CUST_04540,2024-01-05,19.37
CUST_01373,2024-01-05,22.34
CUST_02316,2024-01-05,14.37
CUST_03867,2024-01-05,24.7
CUST_04281,2024-01-05,46.92
CUST_01552,2024-01-05,61.58
CUST_04295,2024-01-05,11.85
CUST_03320,2024-01-05,11.11
CUST_00891,2024-01-05,35.09
CUST_03835,2024-01-05,87.38
CUST_04300,2024-01-05,5.03
CUST_04140,2024-01-05,14.41
CUST_04737,2024-01-05,22.6
CUST_00848,2024-01-05,18.77
CUST_01227,2024-01-05,24.15
CUST_03245,2024-01-05,18.44
CUST_01532,2024-01-05,7.16
CUST_00606,2024-01-05,46.97
CUST_00666,2024-01-05,153.92
CUST_03783,2024-01-05,6.67
CUST_03625,2024-01-05,27.11
CUST_02047,2024-01-05,22.55
CUST_01421,2024-01-06,12.87
CUST_04408,2024-01-06,28.22
CUST_04798,2024-01-06,2.45
CUST_00912,2024-01-06,20.97
CUST_04300,2024-01-06,36.07
CUST_02422,2024-01-06,9.99
CUST_04947,2024-01-06,35.63
CUST_02149,2024-01-06,28.29
CUST_04389,2024-01-06,17.09
CUST_00982,2024-01-06,29.51
CUST_03297,2024-01-06,110.33
CUST_03771,2024-01-06,24.15
CUST_04987,2024-01-06,16.12
CUST_04727,2024-01-06,16.35
CUST_04779,2024-01-06,5.19
CUST_03763,2024-01-06,6.91
CUST_02124,2024-01-06,45.92
CUST_02316,2024-01-06,8.9
CUST_02355,2024-01-06,21.3
CUST_01481,2024-01-06,290.58
CUST_03592,2024-01-06,14.96
CUST_04244,2024-01-06,19.0
CUST_02944,2024-01-06,7.37
CUST_03783,2024-01-07,8.21
CUST_04519,2024-01-07,5.75
CUST_04300,2024-01-07,34.58
CUST_04519,2024-01-07,81.73
CUST_04391,2024-01-07,4.48
CUST_04435,2024-01-07,31.33
CUST_04138,2024-01-07,11.12
CUST_01016,2024-01-07,6.73
CUST_00767,2024-01-07,77.86
CUST_01759,2024-01-07,13.71
CUST_00554,2024-01-07,4.9
CUST_03668,2024-01-07,17.72
CUST_04194,2024-01-07,12.55
CUST_01017,2024-01-07,6.78
CUST_04998,2024-01-07,8.86
CUST_04606,2024-01-07,8.27
CUST_03466,2024-01-07,17.12
CUST_03054,2024-01-07,52.7
CUST_00326,2024-01-07,21.22
CUST_03640,2024-01-07,83.62
CUST_00326,2024-01-07,45.13
CUST_04335,2024-01-08,12.84
CUST_03019,2024-01-08,30.55
CUST_01137,2024-01-08,11.12
CUST_04597,2024-01-08,41.34
CUST_04370,2024-01-08,12.64
CUST_02218,2024-01-08,20.29
CUST_00162,2024-01-08,5.01
CUST_03042,2024-01-08,23.41
CUST_01336,2024-01-08,15.08
CUST_03025,2024-01-08,6.44
CUST_01375,2024-01-08,127.72
CUST_02413,2024-01-08,24.55
CUST_04483,2024-01-08,10.55
CUST_01426,2024-01-08,51.28
CUST_00178,2024-01-08,43.76
CUST_01298,2024-01-08,23.23
CUST_04811,2024-01-08,30.33
CUST_01960,2024-01-08,13.5
CUST_00877,2024-01-08,13.96
CUST_01847,2024-01-08,9.63
CUST_02699,2024-01-08,30.54
CUST_00952,2024-01-08,8.79
CUST_00894,2024-01-08,66.3
CUST_03693,2024-01-08,15.85
CUST_04659,2024-01-08,53.08
CUST_04568,2024-01-08,32.88
CUST_04899,2024-01-08,18.81
CUST_00168,2024-01-08,20.68
CUST_00012,2024-01-08,73.78
CUST_00951,2024-01-09,7.41
CUST_02138,2024-01-09,61.88
CUST_04027,2024-01-09,3.21
CUST_02006,2024-01-09,2.7
CUST_03808,2024-01-09,2.76
CUST_02342,2024-01-09,11.59
CUST_04823,2024-01-09,189.71
CUST_01697,2024-01-09,32.29
CUST_01656,2024-01-09,19.02
CUST_02221,2024-01-09,44.13
CUST_04281,2024-01-09,58.63
CUST_03553,2024-01-09,72.66
CUST_03908,2024-01-09,2.27
CUST_00016,2024-01-09,17.63
CUST_04244,2024-01-09,7.21
CUST_04275,2024-01-09,21.9
CUST_04731,2024-01-09,12.79
CUST_02302,2024-01-09,4.56
CUST_03867,2024-01-09,23.43
CUST_00820,2024-01-09,35.57
CUST_03102,2024-01-09,66.2
CUST_04877,2024-01-09,8.45
CUST_02806,2024-01-09,21.52
CUST_02806,2024-01-09,73.95
CUST_02616,2024-01-09,7.87
CUST_00535,2024-01-09,14.21
CUST_03866,2024-01-09,31.71
CUST_02219,2024-01-10,13.61
CUST_04724,2024-01-10,66.55
CUST_00156,2024-01-10,29.0
CUST_04039,2024-01-10,68.21
CUST_02707,2024-01-10,22.77
CUST_04899,2024-01-10,12.67
CUST_02686,2024-01-10,13.67
